"obs","pred"
0.00974811224857498,0.00968132988009502
0.00972098415870692,0.00969225872681071
0.00967949101407256,0.00968024744717605
0.00962757421490725,0.00962282723974269
0.00956845053269944,0.00962480654485108
0.00950463238922119,0.00957161258791468
0.00943808276413105,0.00944829464619041
0.00937046001256213,0.00944000337476294
0.00930348770236485,0.00938132454016468
0.00923961510323509,0.00929103398965563
0.00918324075093589,0.00921936950484552
0.00914255312210257,0.00912645860380071
0.00913062563392271,0.00909046062744403
0.0091614203013417,0.00913489304381064
0.00923782348009028,0.00909950125151681
0.0093384681208601,0.00913690571314471
0.00942735863435584,0.00943848431760448
0.00949040947903001,0.00930443313630917
0.00952607128791135,0.00936630671971651
0.00953616516018984,0.00941197349860255
0.00952430281634039,0.00945580804660099
0.00949485469863952,0.00947260930949131
0.00945212020393976,0.00951200226928322
0.00939983812043273,0.00945878895996228
0.00934102324219213,0.00943420203175746
0.00927802043966109,0.00932406680374036
0.00921267701473892,0.00925113655940093
0.00914660210967686,0.00917538491276278
0.00908157163069304,0.00912897617698753
0.00902026923364132,0.00908243594615417
0.00896763139541131,0.00899696072999295
0.00893269967616587,0.00895792790951003
0.00892910813402138,0.00892953313458004
0.00896951319154334,0.00905276263905784
0.0090527662829797,0.008971720873154
0.00915242690540726,0.00898565553937712
0.00923561260677365,0.00894956094917093
0.00929260057541039,0.00914854760337764
0.00932279887613004,0.00931222704035137
0.00932844675933394,0.00918853398270999
0.00931332997150125,0.00926791007685352
0.00928179192207673,0.0092597323811377
0.00923797963558604,0.00926437655290179
0.00918543131029765,0.00918755539383747
0.00912697090010767,0.00914879580823162
0.00906478977638383,0.00913658159982833
0.00900063486871306,0.0090022205742053
0.00893608490868394,0.00896536655168633
0.00887299740096037,0.00895661247342257
0.00881434046351057,0.00882062505399284
0.0087656569691035,0.00875634212680519
0.00873685896456138,0.0087285275663105
0.00874191080518656,0.00877272665230397
0.00879164160365862,0.00873762960473604
0.00888044788249628,0.00876539262414782
0.00897766600683337,0.00870691557987293
0.00905506182485594,0.00907636387115449
0.00910618832048738,0.00899618183436966
0.00913119889306508,0.00906346382545165
0.00913269362100096,0.00906990344214231
0.00911458800492364,0.00908458005862268
0.00908117069765993,0.0091445672992178
0.00903642679599816,0.00905582574258851
0.00898369836396366,0.00901768919582495
0.00892562961527343,0.00895186360939496
0.00886427239590895,0.0088930209165986
0.00880128863333007,0.00888337340701369
0.00873824642792367,0.00874418738624617
